review_id,review_date,customer_type,industry,product_variant,review_text,rating
R001,2025-01-01,Enterprise,Manufacturing,Airstep Pro,"Real-time pressure mapping helped us reduce fatigue-related incidents on the shop floor.",5
R002,2025-01-02,SMB,Physiotherapy,Airstep Core,"The insoles are comfortable but syncing data after long sessions sometimes takes time.",3
R003,2025-01-03,Enterprise,Sports Performance,Airstep Pro,"Gait analysis metrics are very accurate and useful for athlete performance optimization.",5
R004,2025-01-04,SMB,Healthcare,Airstep Core,"Calibration instructions could be clearer for non-technical users.",3
R005,2025-01-05,Enterprise,Manufacturing,Airstep Pro,"Posture deviation alerts helped us redesign workstation layouts.",4
R006,2025-01-06,SMB,Rehabilitation,Airstep Core,"Battery life is sufficient for daily rehab sessions but could be improved.",3
R007,2025-01-07,Enterprise,Sports Performance,Airstep Pro,"Stride analysis helped our coaches fine-tune training plans.",5
R008,2025-01-08,SMB,Elder Care,Airstep Core,"The mobile app interface is clean and easy for elderly users.",4
R009,2025-01-09,Enterprise,Manufacturing,Airstep Pro,"Would like export options for long-term historical movement data.",4
R010,2025-01-10,SMB,Physiotherapy,Airstep Core,"Occasional Bluetooth disconnects during high-movement exercises.",2
R011,2025-01-11,Enterprise,Healthcare,Airstep Pro,"Fatigue indexing provided insights we could not measure earlier.",5
R012,2025-01-12,SMB,Rehabilitation,Airstep Core,"The insoles fit well but initial setup took longer than expected.",3
R013,2025-01-13,Enterprise,Sports Performance,Airstep Pro,"High-frequency sensing delivers very detailed movement data.",5
R014,2025-01-14,SMB,Elder Care,Airstep Core,"Posture alerts are helpful but notification timing can be improved.",4
R015,2025-01-15,Enterprise,Manufacturing,Airstep Pro,"Durability is excellent even in high-stress industrial environments.",5
R016,2025-01-16,SMB,Physiotherapy,Airstep Core,"The analytics dashboard could include more visual explanations.",3
R017,2025-01-17,Enterprise,Healthcare,Airstep Pro,"Helped clinicians detect abnormal gait patterns early.",5
R018,2025-01-18,SMB,Rehabilitation,Airstep Core,"Battery drains faster when continuous tracking is enabled.",2
R019,2025-01-19,Enterprise,Sports Performance,Airstep Pro,"Real-time feedback during training sessions is a major advantage.",5
R020,2025-01-20,SMB,Elder Care,Airstep Core,"Would like voice alerts instead of only visual notifications.",4
R021,2025-01-21,Enterprise,Manufacturing,Airstep Pro,"Integration with our existing analytics systems was smooth.",4
R022,2025-01-22,SMB,Physiotherapy,Airstep Core,"Mobile app occasionally lags when loading historical data.",3
R023,2025-01-23,Enterprise,Healthcare,Airstep Pro,"Improved rehabilitation planning with data-backed insights.",5
R024,2025-01-24,SMB,Rehabilitation,Airstep Core,"The product works well but documentation needs more examples.",3
